name,local_date,yes_rsvp_count,description
"Analytics>Forward, with Keynote by John Sall, EVP of SAS Institute",3/12/2016,143,"<p>Analytics Forward is an unconference by and for Analytics Professionals (“Data Ninjas”, “Data Scientists”, and “Statistics Gurus”). Come spend a Saturday with 175 of your favorite analysts. Share your knowledge, hear from some of the experts in the field, and meet analysts living and working in the Research Triangle. </p> <p>Keynote Presentation (1:30-2:30 pm): Exploiting the Fit: Using Statistical Models for Profiling, Optimization, and Robust Process Engineering” by John Sall, Executive Vice President, SAS Institute.</p> <p>RSVP using the link at the side. </p> <p>Pitch a talk here: <a href=""http://www.rtpanalysts.org/home/analyticsforward/pitch-talk/"" class=""linkified"">http://www.rtpanalysts.org/home/analyticsforward/pitch-talk/</a>.</p> "
Presentation: Spark vs. Hadoop for Big Data,3/15/2016,100,"<p>Presenter: Technology experts from Qubole<br/><a href=""https://www.qubole.com/"" class=""linkified"">https://www.qubole.com/</a></p> <p>Doors at 6:30pm<br/>Presentation starts at 7:00pm</p> <p>Abstract:<br/>As the landscape of big data processing engines rapidly evolves, many are left to wonder which tool they should use? Hadoop, Spark, something else? In this session, you'll learn about which engines are a best fit for specific use cases, skill sets, code deployments, and resource constraints. We'll provide a framework for deciding on the right tool for your job and help you determine when you shouldn't choose one over the other, but rather use both in conjunction. You can also expect to learn how cloud technologies are simplifying infrastructure to make it easier to leverage multiple data engines and avoid lock-in.</p> <p>After party: Tobacco Road Sports Cafe, 280 S. Mangum Street, Durham, NC</p> <p>Getting there: Fuqua is right across the street from the Science Drive Parking lot, which is available for visitor parking. </p> <p>If the Science Drive lot is full (unlikely), you can use the Parking Garage IV, which is also on Science Drive (135 Science Dr; Durham NC).</p> <p>You can see the HCA Inc Auditorium from the Science Drive entrance. </p> <p>Update: 3/13/2016: We had to change the room, as the one originally scheduled is under repair. The rest of the details are the same. </p> "
Free Admission for RTA Members At Data4Decisions,3/23/2016,5,"<p>Just go to the registration desk and tell them that you're a member of the Research Triangle Analysts group. More about the conference here: <a href=""http://data4decisionsevent.com/attend/"" class=""linkified"">http://data4decisionsevent.com/attend/</a></p> "
Lunch,4/1/2016,17,<p>April Fool's lunch - for real - not imaginary! Come tell us how data has tricked you in the past.</p> 
"Presentation: ""All Graphs Are Wrong, but Some are Useful"" with Xan Gregg",4/19/2016,106,"<p>Doors at 6:30pm.<br/>Presentation Starts at 7:00pm. Abstract: Data visualization is our most efficient tool for understanding information, but it’s far from perfect. Collected data is an imperfect representation of the underlying information. A graph is an imperfect representation of the data. Our understanding is an imperfect representation of the graph. But don’t despair. Xan Gregg, creator of the Graph Builder, will talk about how understanding visual perception can help us make more effective data visualizations.</p> <p>About Xan Gregg: Xan Gregg leads data visualization development at JMP, a business unit of SAS that specializes in data visualization software. He created the Graph Builder feature introduced in JMP 8 and continues to be its principal developer. Gregg is a frequent contributor to the JMP Blog and is known for his series of graph makeover posts. He is founder of the One Less Pie social media campaign, which seeks to replace inappropriate pie charts with better alternatives. Gregg participates in the online JMP User Community and often speaks at customer events like the JMP Discovery Summit. At the inaugural Discovery Summit Europe, Gregg won the award for Best Invited Paper.</p> <p>Gregg is an active participant on visualization question-and-answer sites Cross Validated and HelpMeViz. In 2006, he won first place in Business Intelligence Network’s Data Visualization Competition. Gregg has participated in volunteer hackathons, including one that produced a highly acclaimed graphic for the 2015 Hunger Report. His primary fields of interest are exploratory data analysis and information visualization. He is also a regular at RTA Meetups!</p> "
LUNCH,5/6/2016,24,<p>Come join us for our monthly lunch!</p> 
EVOLUTION OF EMPLOYER GROUP REPORTING & ANALYTICS by Troy Buescher,5/17/2016,71,"<p>Doors at 6:30pm. Presentation starts at 7:00pm.</p> <p>Troy Buescher, Blue Cross Blue Shied Information Scientist, will present on the evolution of the Blue Cross’ “Employer Data Mart,” detailing:</p> <p>What – diverse data aggregated at the employer level</p> <p>Why – needed data in one place that was previously scattered</p> <p>How – role of Enterprise Analytics and Information Delivery in its creation, as well as our use of community resources like students in local analytics programs</p> <p>Use – tools used in it/with it, &amp; the recent automation effort for reporting that comes from it.</p> <p>Detailed Directions: </p> <p>A couple blocks down from where we had A&gt;F (toward Harris Teeter/ Target)</p> <p>Drive down University and turn either left or right onto Ivy Creek Blvd (depending on which way you are coming); there will be a sign that says Blue Cross.</p> <p>You will go through a roundabout 100-200 feet after you turn, take the 2nd exit to stay on Ivy Creek; Bldg 100 will be on your right (L-shaped brick building).</p> <p>Park on the left side of the building, or behind it (parking lot is on your first right after you drive by the building).</p> <p>Go to the center of the L to pick up your security badge, and someone will escort you to the meeting room.</p> "
RTA Lunch at BlackFinn,6/3/2016,26,<p>Join other RTA members for an informal lunch gathering. Lunch events happen the first Friday of each month.  This month we'll meet in Morrisville at BlackFinn Ameripub. </p> 
Paddy Fahey Presents: Designing for Analysis: The Design of Analytics Products,6/21/2016,118,"<p>Doors at 6:30pm.<br/>Presentation Starts at 7:00</p> <p>""Design thinking"" is not just for design – in recent years it has been increasingly applied to a wide variety of business problems, with great results. Come hear about how design thinking is applied to the specific challenge of designing software for data analysis, and get some tips on how design thinking can improve your own data visualizations and presentations.</p> <p>Paddy Fahey is a UX Designer with over 20 years of experience, 14 of them at SAS designing software for both kinds of people – analysts, and people who would be better off if they were analysts.</p> <p>Getting onto SAS Campus:</p> <p>1) We must have your full name so you can be checked in. If you do not use your full name on Meetup, please send the organizers a Meetup message so they can add you.</p> <p>2) Please have a picture ID available. </p> <p>3) Stop at the front gate at 101 SAS Campus Dr. Cary, NC. Say you are with the Research Triangle Analysts Meetup and give your full name. </p> <p>4) Building F is on your right, a large building just after the main gate. For parking, go to the next intersection. There is a lot on your left for Building H. You can also go right and park in the lot behind Building F, but the back doors of Building F will be locked, and it's a longer walk, uphill, to the front door. </p> "
RTA Lunch at Mattie B's Public House,7/1/2016,19,<p>Socialize and get to know your fellow analysts at the July lunch at Mattie B's Public House. Hope to see you there!</p> 
"The NCSU MSA Practicum Experience, with Dr. Christopher West",7/19/2016,51,"<p>Doors at 6:30pm, Presentation starts at 7:00.</p> <p>Abstract: The presentation will overview the Master of Science in in Analytics (MSA) program’s practicum at NC State University’s Institute for Advanced Analytics, then focus on the key challenges and lessons-learned associated with such efforts including: project solicitation-development-selection, sponsor confidentiality and ownership requirements, data transfer and project security requirements, student team composition/assignment, project management, student coaching and performance management, logistical support, and deliverable development.  In addition to highlighting the MSA's practicum, the experiences of managing the practicum should be insightful/translatable for analysts whether they are executing projects in an educational setting or in the professional workplace.</p> "
"Have an Idea, Need an Idea",8/16/2016,43,"<p>Have a great idea for an analytics project? Stuck on something and need a little help? Come spend an evening with your fellow analysts, enjoy tasty beverages, and discuss your latest ideas and problems. </p> "
RTA Lunch at Mellow Mushroom,9/2/2016,25,<p>Join fellow RTA members for lunch at the Mellow Mushroom near the Durham Bulls stadium.</p> 
PyData Carolinas 2016,9/14/2016,17,"<p>PyData conferences bring together users and developers of data analysis tools to share ideas and learn from each other. The PyData community gathers to discuss how best to apply Python tools, as well as tools using R and Julia, to meet evolving challenges in data management, processing, analytics, and visualization.</p> <p><b>To participate, you must <a href=""http://pydata.org/carolinas2016/"">register </a>at <a href=""http://pydata.org/carolinas2016/""><a href=""http://pydata.org/carolinas2016/"" class=""linkified"">http://pydata.org/carolinas2016/</a><br/></a></b></p> <p>We aim to be an accessible, community-driven conference, with tutorials for novices, advanced topical workshops for practitioners, and opportunities for package developers and users to meet in person.</p> <p>To look at the <b><a href=""http://pydata.org/carolinas2016/schedule/"">conference schedule</a></b>, visit <a href=""http://pydata.org/carolinas2016/schedule/""><a href=""http://pydata.org/carolinas2016/schedule/"" class=""linkified"">http://pydata.org/carolinas2016/schedule/</a></a></p> <p><b>Tutorial day:</b> Three tracks of Python, R, and Julia data science tutorials, four tutorials per track, two 90 minute tutorials in the morning and two 120 minute tutorials in the afternoon. Fully catered breakfast, lunch, snacks, and beverages. Tutorials are limited to 200 participants. Evening social event in Downtown Durham.</p> <p><b>Conference days:</b> Two days of talks, keynotes, lightning talks, and birds of a feather sessions in three tracks. Fully catered breakfast, lunch, snacks, and beverages. Big evening social event in downtown Durham on the evening of September 15th.</p> <p>To volunteer at the conference, email operations@pydatacarolinas.org or sign up for a slot on <a href=""http://signup.com/go/CTTy6b""><a href=""http://signup.com/go/CTTy6b"" class=""linkified"">http://signup.com/go/CTTy6b</a></a>.</p> <p>Follow PyData Carolinas on Twitter at <a href=""https://twitter.com/pydatacarolinas""><a href=""https://twitter.com/pydatacarolinas"" class=""linkified"">https://twitter.com/pydatacarolinas</a></a></p> <p>You are welcome to join us for a ""<i>PyData welcome goodie bags stuffing party</i>"" the evening before the conference (any time during 4pm-9pm on Sept 13, 2016) at IBM. Email operations@pydatacarolinas.org for volunteering &amp; getting access to the building.</p> "
Please join us for a fun time at the next RTA lunch!,10/7/2016,31,NA
Understanding Probabilistic Topic Models By Simulation with Tim Hopper,10/18/2016,63,"<p>Doors at 6:30pm<br/>Talk starts at 7:00pm</p> <p>Latent Dirichlet Allocation and related topic models are often presented in the form of complicated equations and confusing diagrams. I will present LDA as a generative model through probabilistic simulation in simple Python. Simulation will help data scientists to understand the model assumptions and limitations and more effectively use black box LDA implementations.</p> <p>Those without training in probabilistic graphical models and measure theory, data scientist may have a hard time understanding Latent Dirichlet Allocation and other probabilistic topic models. However, because LDA is a generative model, we can write Python code to generated data based on the model assumptions.</p> "
TRANSDATA ® Platform Demo,11/3/2016,25,"<p>We'd like to invite you to a live demo of our newest product: Transdata Platform. The latest in visualized data manipulation and data blending. </p> <p>Please bring your laptops as we'd like this to be a hands-on demonstration. It'll help move things along if you already have the demo installed. Let us know if you have any problems: </p> <p><a href=""http://www.bfstransdata.com/blueflash-demo/""><a href=""http://www.bfstransdata.com/blueflash-demo/"" class=""linkified"">http://www.bfstransdata.com/blueflash-demo/</a></a>­ </p> <p>If you have any sort of data related problems, we'll also be providing free consultation afterwards. </p> <p>This is an excellent chance to see one of the next big things in data-blending and network with other industry professionals. Light refreshments will be provided as well as free beer as a part of Frontier's Happy Hour. </p> "
Lunch,11/4/2016,17,<p>Join your RTA colleagues for the monthly lunch.  This time we'll meet at Page Road Grill.  See you there!</p> 
Let's Go to a Bar and Talk About Math,11/15/2016,18,"<p>Getting back to our roots, RTA will be having its November planning meeting in the bar area at Relish! This is largely a celebration of a terrific year at Research Triangle Analysts. RTA will be providing snacks. There will be a cash bar for drinks. Come say hi, have some food, and celebrate with your fellow analysts.</p> "
Join us for the last RTA lunch of 2016!,12/2/2016,12,"<p>Brixx has pizzas, sandwiches, and salads with vegan and gluten-free options.  They also have craft beers available.</p> "
Interpreting Decision-Tree Models with Ralph Haygood,1/17/2017,103,"<p>Doors Open at 6:30pm</p> <p>Presentation Starts at 7:00pm</p> <p>Abstract:</p> <p>Decision-tree models, particularly random forests and gradient-boosted tree models, are popular for both classification and regression tasks. For many tasks, they offer not only accurate predictions but also plain interpretations, that is, insights into the relationships between the input variables and the output variable: Which inputs are most influential? Which inputs combine non-additively? For practical purposes, answering these questions is often more important than providing accurate predictions per se. In this talk, I'll briefly introduce decision trees, random forests, and gradient-boosted tree models. I'll then explain and demonstrate (in Python) feature importances - Which inputs are most influential? - and feature interactions - Which inputs combine non-additively? Regarding feature interactions, I'll discuss Friedman-Popescu statistics, a topic from the research literature that I've found useful in my own practice.</p> "
First RTA lunch in 2017!,2/3/2017,16,<p>Join us for the monthly RTA lunch and have a good time with your fellow data enthusiasts.<br/>Place your order with the cashier when you arrive.</p> 
Advanced Statistical Models for Basketball Data with Clay Barker,2/21/2017,89,"<p>NOTE THE NEW TIME<br/>Doors open at 6:00pm<br/>Presentation starts at 6:30pm</p> <p>Sports and statistics are a natural pairing. Years of studying box scores and basketball cards can also play an integral role in developing an interest in data analysis (it worked for me!). Armed with data and a knowledge of statistical models, a fan can investigate theories or suspicions they have about their favorite sport. For example, is an NCSU basketball player at a disadvantage in the NBA draft compared to their counterparts at UNC or Duke? We will look into this matter as well as a couple other applications of analyzing basketball data. We'll also briefly introduce the modeling techniques used, such as the Plackett-Luce model for rankings and the Lasso and Generalized Lasso for variable selection.</p> <p>Clay Barker is a Senior Research Statistician Developer in the JMP group at SAS. Clay has developed a variety of platforms in JMP, including tools for variable selection, nonlinear modeling, and model-based clustering. Clay earned a PhD in Statistics from North Carolina State University. When not hanging out with his wife and daughters, Clay enjoys basketball, golf, and craft beer.</p> "
The Research Triangle Analysts March lunch will be at Chuy's.,3/3/2017,26,<p>Get out and enjoy the spring weather and join your fellow analysts for lunch!</p> 
Analytics>Forward,3/11/2017,117,"<p>This is the building we’re meeting in. Enter through the front entrance (pictured here).</p> <p><img src=""https://a248.e.akamai.net/secure.meetupstatic.com/photos/event/c/4/1/0/600_458990192.jpeg"" /></p> <p>Analytics Forward is an unconference by and for Analytics Professionals (“Data Ninjas”, “Data Scientists”, and “Statistics Gurus”). Come spend a Saturday with over 100 of your favorite analysts. Share your knowledge, hear from some of the experts in the field, and meet analysts living and working in the Research Triangle. </p> <p>RSVP using the link at the side. </p> <p>Analytics&gt;Forward is an unconference, that means YOU decide the schedule and the content. Everyone who wants to speak has 2 minutes to pitch in the morning. The conference attendees vote for the talks they want to see, and then the organizers build the schedule. </p> <p><b>Keynote Presentation:</b> ""IBM in the Cognitive Era"" by Steve Geringer of IBM</p> <p>IBM is a 105 year old company with a history of reinventing itself.  As the world rapidly enters a new era of machine intelligence, IBM has repositioned itself as a key provider of tools, platforms and know-how to enable its Clients to thrive in this new 'Cognitive Era'.  Steve will provide a high level view of some of the major initiatives IBM is currently undertaking and will then take a deeper dive by demonstrating some of the latest Data Science tools that IBM offers.</p> <p>If you've never been to an unconference before, believe us when we say it's a ton of fun. You can see what some of your fellow attendees are planning to present here: <a href=""https://www.rtpanalysts.org/pitch-a-talk""><a href=""https://www.rtpanalysts.org/pitch-a-talk"" class=""linkified"">https://www.rtpanalysts.org/pitch-a-talk</a></a></p> <p>And read more about unconferences in general here: <a href=""https://en.wikipedia.org/wiki/Unconference""><a href=""https://en.wikipedia.org/wiki/Unconference"" class=""linkified"">https://en.wikipedia.org/wiki/Unconference</a></a></p> <p>Get ready to pitch your 40 minute talk, tell your friends about this exciting opportunity, and start looking forward to this awesome event!</p> <p>Breakfast, lunch, and coffee will be provided. </p> "
Lightning Talks: College Basketball Bracket,3/21/2017,14,"<p>Doors at 6:30pm<br/>Talks start at 7:00</p> <p>This year, RTA is running a contest to see who can use math to create the ultimate NCAA tournament bracket. At the March meeting, every participant will have a chance to make a 5 minute presentation on how they chose their bracket and what they did next. An initial starting point for data:<br/><a href=""http://www.sports-reference.com/cbb/"" class=""linkified"">http://www.sports-reference.com/cbb/</a></p> <p>Parking instructions:<br/>Visitor parking is available opposite to Science Drive entrance. However, it's known to be a 24/7 paid parking lot. Limited parking spaces are available at Fuqua Business Circle from Tower View entrance. Alternatively, you can try street parking on Circuit drive, or the 751 parking lot on Cameron Blvd. Both are within walking distance to Fuqua building.</p> "
April Lunch,4/7/2017,9,"<p>Join your RTA colleagues for conversation and networking at Cafe Meridian (<a href=""http://www.cafemeridian.com/"" class=""linkified"">http://www.cafemeridian.com/</a>)</p> "
"Commuting, Voting, and the Off-Label Use of Data with Elaine McVey",4/18/2017,59,"<p><b>Commuting, voting, and the off-label use of data</b></p> <p>The modern practice of data science often involves approaching datasets differently than in traditional statistics. Two analyses will be presented, both of which use combinations of public datasets in expected and ""off-label"" ways.  One addresses the need to simulate realistic commuting patterns, and the other evaluates the effects of North Carolina voting site decisions.  In the process of telling the stories of these two data science projects, we'll have an opportunity to reflect on the nature of data science.</p> "
RTA Lunch,5/5/2017,12,<p>Enjoy lunch with your fellow analysts!</p> 
Using R and AWS for Random Forests,5/16/2017,92,"<p>Data scientists from Elder Research will discuss their experiences with using AWS and R for a client project. The client's problem had a number of challenges, including wide data sets with a limited amount of data.</p> "
RTA June Lunch,6/2/2017,14,<p>Join us for lunch this Friday!</p> 
Go Ape for APIs! with Brian Fannin,6/20/2017,89,"<p>Doors Open at 6:30pm</p> <p>Presentation Starts at 7:00</p> <p>The internet is a rich source of information, but when we pull data from a website, what exactly are we doing? And how can we make things  easier to access? This presentation will review the dynamics of HTTP and then walk through how to use the httr package in R (plus, if you're lucky, the Requests package in Python) . This will let you construct a generic framework that can download everything from how many romance novels your friends read, to the arrest records of NFL athletes. </p> "
SQL on Hadoop and Modern Analytic Databases with Ian Cook,7/18/2017,92,"<p>Doors at 6:30pm</p> <p>Presentation Starts at 7:00pm</p> <p>SQL is widely used by analysts to query relational databases and data warehouses. In the last ten years, as the data stored by companies has grown exponentially larger, the costs of storing it in traditional databases has soared. To achieve lower costs and greater scalability, companies have stored more of their ever-growing data on distributed platforms like Hadoop and in services like Amazon S3. Tools like Apache Hive, Apache Impala, and others have been developed to allow analysts to query this petabyte-scale data using familiar SQL syntax. Join us for a tour through the history of relational databases and the rise of SQL on Hadoop and modern analytic databases. Learn what’s different about the dialects of SQL used with these big data query engines.</p> <p>After Party: Carolina 1663, 1 Europa Dr. Chapel Hill NC</p> "
RTA Lunch,8/4/2017,13,<p>Join fellow RTA members for monthly 1st Friday lunch. These monthly lunches are casual gatherings to hang-out and network with colleagues.</p> 
Begin with the End in Mind: Efficient Experimental Design with Dan Kelly,8/15/2017,94,"<p>Doors open at 6:30</p> <p>Presentation starts at 7:00</p> <p>Most of the data in the data science realm is data that organizations collect as a matter of fact.  Banks have to keep track of your transactions, insurers have to keep track of your premiums and claims, the NSA has to keep track of your likes and re-tweets; if they didn’t, they wouldn’t be doing their jobs.  That data can have value, but it can’t answer every question that your business partners might have.</p> <p>If you have some questions that need answers, but you don’t have all the relevant data that you need, it’s time for design.  Designing an experiment is essentially building the data that you need to answer the questions that you have as efficiently as possible.  Let’s talk about what it means to be “efficient” in this context, as well as how to accommodate real world constraints in your designs.  </p> "
RTA Lunch,9/1/2017,25,<p>Join fellow RTA members for monthly 1st Friday lunch. These monthly lunches are casual gatherings to hang-out and network with colleagues.</p> 
Building a Continuous Learning Algorithm from Logged Data with Zeydy Ortiz,9/19/2017,91,"<p>Logged data from business processes contain a treasure trove of information that usually remains untapped.  Now that businesses have many more instrumented processes with IoT devices, the data collected is bound to increase.  In many cases, businesses collect the data to answer: 'what happened?'  However, this information could also  be used to anticipate what is likely to happen.  In particular, we could use the data collected to determine how long a given process is expected to take to complete.</p> <p>In this presentation, I will present a case study on building a continuous learning algorithm to predict how long an Ansible playbook will take to execute.  Ansible is a tool that IT organizations use to automate tasks.  A developer could go for a cup of coffee or out to lunch only if they know how long the build would take.  The historical data stored in Logstash (from the Elastic Stack) will be used to feed a k-Nearest Neighbor algorithm for predictions.</p> <p>Zeydy Ortiz, Ph. D. is the co-founder and CEO of DataCrunch Lab.  She helps teams and organizations translate data into actionable insights for operational efficiency.  Her interests include incorporating artificial intelligence and machine learning into Internet of Things applications.  She is also the organizer of NC Data4Good bringing together social good organizations and data scientists to make an impact in our communities.  Dr. Ortiz has a bachelor's degree in Computer Engineering from the University of Puerto Rico, a Master's in Computer Science from Texas A&amp;M University and a doctorate from NC State University.  Before focusing on data science, she was a performance engineer at IBM developing predictive models to forecast the performance of servers.  She lives in Cary with her two kids, two dogs and her husband.</p> "
RTA Lunch this Friday!,10/6/2017,9,NA
Changes in TV Audience Measurement by Gerald Belton,10/17/2017,41,"<p>Gerald A. Belton is a data analyst and statistician who has worked in media research for over 20 years. He has been a speaker for the National Association of Broadcasters, and currently is a member of the Nielsen Local Policy Guidelines Committee. Gerald has earned a B.A. in Mathematical Sciences from the University of Illinois at Springfield, and is currently enrolled in the Master of Statistics program at North Carolina State University, and he is a member of the American Statistical Association. In 2010, Gerald was instrumental in FOX 50 being recognized for community service by the National Association of Broadcasters with the Service to America Television Award. He lives in Durham, NC.</p> "
RTA Lunch,11/3/2017,11,<p>There is no wait staff so place your order with the cashier when you arrive.</p> 
Party!,11/28/2017,47,"<p>It's the last Meetup of the year!</p> <p>Let's get together, have a drink, and talk about what's happening in the world of analytics, and enjoy each other's company. RTA will buy a round of heavy appetizers for the group. Drinks and any other food you might want are on your own.</p> "
Tackling billion dollar problems with data: with Shoresh Shafei,1/16/2018,80,"<p>Doors: 6:30pm<br/>Presentation starts: 7:00pm</p> <p>Snacks and drinks provided by Spreedly!<br/><a href=""https://www.spreedly.com/"" class=""linkified"">https://www.spreedly.com/</a></p> <p>Financial Technology (FinTech) companies, that employ technology to facilitate banking and financial services, have to deal with multi billion dollar problems such as credit card declines and fraud prevention. In fact, around $146 billion in credit card purchases are declined annually and in 2015 alone, global credit card and debit card fraud resulted in a $21.84 billion loss.</p> <p>Our unprecedented ability to store, analyze and learn from huge datasets has motivated fintech companies to invest in and take advantage of data science to predict declines, identify fraudulent transactions, prevent losses and capture more revenue by reducing the number of ""false declines"" that result from overly zealous fraud controls.</p> <p>Spreedly, a fintech company in downtown Durham, allows merchants to store and tokenize credit card information and use them against multiple payment gateways through one unique API. This positions Spreedly between merchants and payment providers and gives it a unique access to payment methods, payment gateways, and transactional data which, in turn, can be used to generate insights into the payment industry.</p> <p>In this presentation, Shoresh will introduce the basic concepts in payment and discuss how the analytics team at Spreedly is using the data to tackle the billion dollar problems in financial industry.</p> "
Lunch!,2/2/2018,18,<p>• What we'll do</p> <p>• What to bring</p> <p>• Important to know</p> 
Demystifying Deep Learning with Justin Ellis,2/20/2018,163,"<p>• What we'll do<br/>Door: 6:30<br/>Presentation Starts; 7:00</p> <p>Demystifying deep learning: An introduction to convolutional neural networks for computer vision</p> <p>Deep learning is seemingly everywhere these days, from self-driving cars to facial recognition to natural language processing to hundreds of other applications. Everyone wants to do deep learning, but there is a lot of hype and confusion about its applications and prospects In the last few years, deep learning methods, particularly convolutional neural networks (CNNs), have become the undisputed champions of computer vision with new and more sophisticated techniques being created daily.</p> <p>In this talk I will give a brief conceptual introduction to deep learning and CNNs and display some of the amazing applications that are currently being used. I then will dispel three specific myths about deep learning i.) it is a black box, ii.) it takes too much data for most applications, iii.) need to be an expert to use it. Lastly, I will show some simple but very powerful code (in Python and R) to produce near state of the art results in computer vision tasks.</p> <p>• What to bring</p> <p>• Important to know<br/>Special Instructions for SAS Security:<br/>SAS Security needs your FULL NAME two days prior to the Meetup. If you do not use your full name as your Meetup ID, please send it to Melinda Thielbar. We will close RSVPs on February 18, and you will not be able to attend if you have not registered by then.</p> "
Monthly RTA Lunch,3/2/2018,13,<p>• What we'll do<br/>Join your fellow analysts for lunch this Friday!</p> <p>• What to bring</p> <p>• Important to know</p> 
Analytics>Forward Presentation Preparation,3/5/2018,28,"<p>Whether you're pondering or working on your Analytics Forward presentation or just want to be a better presenter, this is the workshop for you.</p> <p>Mark Hutchinson is a senior software instructor and three-time (top tier) Analytics Forward presenter. Mark will conduct a train-the-trainer session for the attendees. Mark has conducted several such sessions prior to past Raleigh CodeCamp conferences to help local members ramp up their platform skills.</p> <p><b>Topics:</b><br/>* Material organization<br/>* Slides management<br/>* Demo and exercise management<br/>* Room and equipment management<br/>* Time management<br/>* Presentation skills<br/>* Assessment<br/>* Expectations management<br/>* Answering questions<br/>* The three important words to remember</p> <p>Attendees will be given the opportunity to introduce their talk, ask questions, and have their slides/demos reviewed.</p> <p><b>What to bring</b><br/>Presentation materials, laptop if applicable.</p> <p>===================================================</p> <p><b>Important A&gt;F conference fact:</b><br/>If you're planning to present at Analytics&amp;gt;Forward (cost $10, includes lunch), you'll want to sign up to attend Analytics&amp;gt;Forward:<br/><a href=""https://www.meetup.com/Research-Triangle-Analysts/events/246678392/"" class=""linkified"">https://www.meetup.com/Research-Triangle-Analysts/events/246678392/</a></p> "
Analytics>Forward 2018,3/10/2018,167,"<p>• What we'll do<br/>Analytics&amp;gt;Forward is happening again! Based on the ""bar camp""-style conferences, the program will be set the day of the conference based on all of the exciting pitches you'll hear first thing in the morning. Bring your 50-minute talk and a stack of business cards for a day of mathy fun with all of your favorite analysts. Your $10 registration buys breakfast, lunch (provided by @IBM_Analytics), and coffee all day!</p> <p>This year, we are very pleased to welcome Mara Averick (@dataandme on Twitter), as our keynote speaker! Mara is an RStudio employee whose celebrated curation of data-science web posts has earned her almost 20,000 Twitter followers and enormous gratitude in the community. Mara’s talk will explore what she has learned about successfully communicating data science discoveries and concepts.</p> <p>• What to bring<br/>Business cards, a 50-minute talk if you want to pitch a presentation, and your winning personality.</p> <p>• Important to know<br/>Analytics&amp;gt;Forward is a community event. Any attendee who wants to speak can doing a 1-minute pitch for a 50-minute talk. Once all the pitches have been heard, all of the attendees vote for their favorites, and the top vote-getters are assigned time slots. Every year, we've had great talks from some amazing speakers. If you've never tried a barcamp-style conference before, Analytics&amp;gt;Forward will win you over!</p> "
RTA Happy Hour,3/20/2018,26,"<p>• What we'll do<br/>Come celebrate a successful Analytics&amp;gt;Forward! This our usual day, but a different place, time, and activity. There will be no presentation, and we're starting a bit early so we can all go home early.</p> <p>Come have a drink, meet up with all the people you didn't have a chance to talk to because you were so busy at Analytics&amp;gt;Forward, and relax with some mathy socializing.</p> "
Monthly RTA lunch,4/6/2018,7,<p>Join us for lunch this Friday.</p> 
Data-Driven Clinical Research: Methods & Ethics with Emily Pfaff,4/17/2018,73,"<p>Data scientists are no strangers to using advanced analytics, predictive modeling, and machine learning to answer a variety of research questions, but health care has been a bit slower than other industries to apply these techniques. In this talk, I’ll present an overview of clinical data warehousing, a few examples of data-driven clinical research projects, and a look into the future of clinical data analytics. In doing so, I’ll also address the ethical questions that arise when working with health care data.</p> "
Monthly RTA Lunch,5/4/2018,8,<p>Monthly RTA Lunch</p> 
Challenges in Implementing Analytical Solutions with Walt DeGrange,5/15/2018,63,"<p>We have all attended presentations either telling how great an analytical solution performed or how to successfully implement a solution or technique. It isn't a surprise to seasoned analytical professionals that most analytical projects are not successfully implemented. Unfortunately, due to selection bias, these projects are seldom presented. Medicine has a long history of using morbidity and mortality briefs to learn and advance the profession. These briefs share stories on negative outcomes and the events and decisions that led to those outcomes. This presentation uses the morbidity and mortality model and will take examples from analysis performed from the desert of Iraq, to the South China Sea, to the ice of the St. Louis Blue's Scottrade Center hockey rink to share negative outcomes and the lessons to be learned.</p> <p>SPECIAL INSTRUCTIONS FOR SAS SECURITY<br/>SAS Security needs your FULL NAME two days prior to the Meetup. If you do not use your full name as your Meetup ID, please send it to Melinda Thielbar. We will close RSVPs on May 12, and you will not be able to attend if you have not registered by then.</p> "
RTA Lunch this Friday,6/1/2018,8,<p>Join your colleagues at the Research Triangle Analysts lunch this Friday.</p> 
Building a Modern Platform for Analytics at BCBSNC with Todd Norris,6/19/2018,118,"<p>Doors: 6:30pm<br/>Presentation starts: 7:00pm</p> <p>Pizza provided by Cloudera!<br/><a href=""https://www.cloudera.com""><a href=""https://www.cloudera.com"" class=""linkified"">https://www.cloudera.com</a></a></p> <p>Meeting space provided by BCBSNC (same place where we met for Analytics&gt;Forward 2018 and 2017)<br/><a href=""https://www.bluecrossnc.com/""><a href=""https://www.bluecrossnc.com/"" class=""linkified"">https://www.bluecrossnc.com/</a></a></p> <p>Join us for this talk by Todd Norris, Director of Information Management Strategy and Architecture at Blue Cross and Blue Shield of North Carolina (BCBSNC). Drawing on his 22 years of experience in data warehousing and analytics, Todd will speak about the work he's done to provide technology that leverages big data in an effective and efficient way to support analytic discovery at BCBSNC. Todd will describe the movement from diagnostic and descriptive analytics to predictive and prescriptive analytics, and will discuss how the pace of technological change has affected the roles of analytics and IT professionals.</p> "
Late-notice RTA Lunch social!,7/6/2018,4,"<p>For those who are stuck working over the holiday week, come enjoy lunch and conversation with your fellow RTA members. Sorry I forgot to post this earlier!</p> "
